id_ext,codigo_emenda,data_apresentacao,numero,local,autor,casa,tipo_documento,inteiro_teor
2119881,2125357,2017-03-14,104,PEC28716,Valdir Colatto - PMDB/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533812
2119881,2125359,2017-03-14,105,PEC28716,Marcos Rogério - DEM/RO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534250
2119881,2125360,2017-03-14,106,PEC28716,Pauderney Avelino - DEM/AM,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533226
2119881,2125362,2017-03-14,107,PEC28716,Walter Ihoshi - PSD/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535508
2119881,2125363,2017-03-14,108,PEC28716,Eros Biondini - PROS/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534251
2119881,2125364,2017-03-14,109,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533246
2119881,2125365,2017-03-14,110,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533249
2119881,2125366,2017-03-14,111,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535509
2119881,2125367,2017-03-14,112,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535510
2119881,2125368,2017-03-14,113,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535511
2119881,2125369,2017-03-14,114,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535512
2119881,2125370,2017-03-14,115,PEC28716,Laerte Bessa - PR/DF,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533274
2119881,2125371,2017-03-14,116,PEC28716,Giuseppe Vecci - PSDB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535514
2119881,2125372,2017-03-14,117,PEC28716,Giuseppe Vecci - PSDB/GO,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535515
2119881,2125373,2017-03-14,118,PEC28716,Alan Rick - PRB/AC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534252
2119881,2125374,2017-03-14,119,PEC28716,Luciano Ducci - PSB/PR,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535516
2119881,2125375,2017-03-14,120,PEC28716,Luciano Ducci - PSB/PR,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535517
2119881,2125379,2017-03-14,121,PEC28716,Gonzaga Patriota - PSB/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535518
2119881,2125380,2017-03-14,122,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533238
2119881,2125383,2017-03-14,123,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535519
2119881,2125384,2017-03-14,124,PEC28716,Jerônimo Goergen - PP/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534253
2119881,2125385,2017-03-14,125,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1535520
2119881,2125386,2017-03-14,126,PEC28716,Lincoln Portela - PRB/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534256
2119881,2125387,2017-03-14,127,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534254
2119881,2125389,2017-03-14,128,PEC28716,Cleber Verde - PRB/MA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534025
2119881,2125391,2017-03-14,129,PEC28716,Cleber Verde - PRB/MA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533287
2119881,2125392,2017-03-14,130,PEC28716,Roberto de Lucena - PV/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1534257
2119881,2125393,2017-03-14,131,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533201
2119881,2125394,2017-03-14,132,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533203
2119881,2125395,2017-03-14,133,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533204
2119881,2125396,2017-03-14,134,PEC28716,André Figueiredo - PDT/CE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533205
2119881,2125397,2017-03-14,135,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533208
2119881,2125398,2017-03-14,136,PEC28716,Ademir Camilo - PTN/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533209
