id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
100,164360,Dep. Carmen Zanotto,CIDADANIA,SC,governo,camara,Dep. Carmen Zanotto (CIDADANIA/SC),1.6904761904761905,1164360
100,177282,Dep. Subtenente Gonzaga,PDT,MG,oposição,camara,Dep. Subtenente Gonzaga (PDT/MG),4.2,1177282
100,178829,Dep. Capitão Augusto,PL,SP,governo,camara,Dep. Capitão Augusto (PL/SP),2.5,1178829
100,178832,Dep. Leandre,PV,PR,governo,camara,Dep. Leandre (PV/PR),0.8333333333333333,1178832
100,178835,Dep. Afonso Motta,PDT,RS,oposição,camara,Dep. Afonso Motta (PDT/RS),3.8,1178835
100,178836,Dep. Alan Rick,DEM,AC,governo,camara,Dep. Alan Rick (DEM/AC),3,1178836
100,178842,Dep. Jhc,PSB,AL,oposição,camara,Dep. Jhc (PSB/AL),1,1178842
100,178854,Dep. Elmar Nascimento,DEM,BA,governo,camara,Dep. Elmar Nascimento (DEM/BA),4,1178854
100,178857,Dep. Jorge Solla,PT,BA,oposição,camara,Dep. Jorge Solla (PT/BA),38.726190476190474,1178857
100,178860,Dep. Paulo Azi,DEM,,governo,camara,Dep. Paulo Azi (DEM/-),3,1178860
100,178881,Dep. Aluisio Mendes,PODE,MA,governo,camara,Dep. Aluisio Mendes (PODE/MA),1.8,1178881
100,178882,Dep. André Fufuca,PP,MA,governo,camara,Dep. André Fufuca (PP/MA),1,1178882
100,178884,Dep. Hildo Rocha,MDB,MA,governo,camara,Dep. Hildo Rocha (MDB/MA),2,1178884
100,178916,Dep. Daniel Coelho,CIDADANIA,PE,governo,camara,Dep. Daniel Coelho (CIDADANIA/PE),2,1178916
100,178921,Dep. Sebastião Oliveira,PL,PE,governo,camara,Dep. Sebastião Oliveira (PL/PE),1,1178921
100,178922,Dep. Tadeu Alencar,PSB,PE,oposição,camara,Dep. Tadeu Alencar (PSB/PE),10.875,1178922
100,178927,Dep. Aliel Machado,PSB,PR,oposição,camara,Dep. Aliel Machado (PSB/PR),4.375,1178927
100,178929,Dep. Diego Garcia,PODE,PR,governo,camara,Dep. Diego Garcia (PODE/PR),5,1178929
100,178931,Dep. Luciano Ducci,PSB,PR,oposição,camara,Dep. Luciano Ducci (PSB/PR),5,1178931
100,178939,Dep. Clarissa Garotinho,PROS,RJ,governo,camara,Dep. Clarissa Garotinho (PROS/RJ),4,1178939
100,178946,Dep. Soraya Santos,PL,RJ,governo,camara,Dep. Soraya Santos (PL/RJ),5.690476190476191,1178946
